Table 1A,,,,,,
Monthly Work Stoppages,,,,,,
NOTE: A single work stoppage may appear in multiple months.,,,,,,
,,,,,,
,Work Stoppages,,,,,
,2021,2022,2023,2024,2025,
January,11,42,38,29,40,
February,15,35,47,42,49,
March,23,50,53,44,46,
April,33,49,53,49,30,
May,32,52,60,55,63,
June,38,41,57,47,40,
July,41,54,54,39,58,
August,25,60,68,55,44,
September,36,57,76,59,54,
October,61,65,66,49,46,
November,61,47,72,42,46,
December,44,49,53,37,34,
Table 1B,,,,,,
Monthly Approximate Number of Workers Involved in Work Stoppages,,,,,,
,Approximate Number of Workers,,,,,
,2021,2022,2023,2024,2025,
January,"5,107","53,067","16,306","38,349","12,9",
February,"3,134","24,089","5,865","5,826","96,197",
March,"9,253","18,741","77,031","12,779","25,784",
April,"15,905","28,657","19,153","13,186","124,019",
May,"12,512","14,248","25,149","44,484","82,477",
June,"13,417","7,571","46,27","40,57","15,561",
July,"15,07","8,576","199,307","12,018","29,311",
August,"7,546","16,516","200,192","37,53","11,899",
September,"12,379","33,59","210,551","91,202","14,755",
October,"32,313","13,555","305,136","89,698","61,333",
November,"90,561","58,321","201,125","91,217","54,603",
December,"21,794","59,649","24,312","21,376","7,938",
Table 2,,,,,,
Industry of Work Stoppages 2025,,,,,,
"NOTE: In 2025, like 2024, we coded a single industry per strike. The only exceptions are five strikes by workers at University of California and University of California Health, which we coded in both the Educational Services and Health Care and Social Assistance industries.",,,,,,
,,,,,,
Industry,Work Stoppages,Approximate Number of Workers,Strike Days,,,
"Agriculture, Forestry, Fishing and Hunting",2,20,120,,,
Utilities,0,0,0,,,
Construction,5,156,"11,578",,,
Manufacturing,41,"12,689","684,773",,,
Wholesale Trade,8,"2,464","259,05",,,
Retail Trade,11,"13,481","167,875",,,
Transportation and Warehousing,21,"3,766","125,576",,,
Real Estate and Rental and Leasing,5,166,"3,767",,,
"Professional, Scientific and Technical Services",8,789,"12,754",,,
Educational Services,39,"35,075","236,646",,,
Information,10,344,"29,894",,,
Health Care and Social Assistance,57,"116,826","1,213,703",,,
"Arts, Entertainment and Recreation",13,"4,131","446,577",,,
Accommodation and Food Services,59,"10,76","184,192",,,
Public Administration,13,"85,819","681,78",,,
Administrative and Support and Waste Management,13,"3,096","75,126",,,
Other Services (except Public Administration),1,80,240,,,
Mining,1,16,672,,,
Table 3,,,,,,
Duration of Work Stoppages,,,,,,
Work Stoppages per Interval,,,,,,
Interval,Less than or equal to 1 Day,2 to 4 Days,5 to 9 Days,10 to 30 Days,31 plus Days,
,2021,104,54,25,53,42
2022,204,85,52,40,52,
2023,197,96,51,59,67,
2024,114,102,44,45,54,
2025,82,67,27,51,76,
Approximate Number of Workers per Interval,,,,,,
Interval,Less than or equal to 1 Day,2 to 4 Days,5 to 9 Days,10 to 30 Days,31 plus Days,
,2021,"79,774","11,078","3,968","18,92","32,369"
2022,"23,226","23,924","87,698","27,126","66,792",
2023,"39,12","182,072","32,135","28,635","266,111",
2024,"49,285","105,12","19,222","66,077","53,785",
2025,"73,742","130,851","65,353","47,494","29,738",
Strike Days per Interval,,,,,,
Interval,Less than or equal to 1 Day,2 to 4 Days,5 to 9 Days,10 to 30 Days,31 plus Days,
,2021,"79,559","28,723","29,151","353,252","2,777,621"
2022,"22,734","70,105","583,452","416,675","3,354,622",
2023,"37,39","512,062","169,911","470,576","23,684,583",
2024,"48,097.5","277,92","107,568","1,080,713","3,814,047",
2025,"130,842","374,881","377,419","845,886","2,442,023",
Table 4,,,,,,
Approximate Size of Work Stoppages,,,,,,
Work Stoppages per Interval,,,,,,
Interval,2-49,50-99,100-249,250-999,"1,000 plus",
,2021,101,44,45,38,24
2022,197,49,66,55,37,
2023,207,47,79,66,44,
2024,126,44,60,66,38,
2025,100,37,47,53,35,
Approximate Number of Workers per Interval,,,,,,
Interval,2-49,50-99,100-249,250-999,"1,000 plus",
,2021,"2,101","3,067","6,221","17,933","110,95"
2022,"3,775","2,993","8,366","21,018",188,
2023,"3,797","3,189","11,239","30,243","490,115",
2024,"2,209","3,183","8,79","32,384","246,923",
2025,"1,807","2,421","7,031","26,114","252,3",
Strike Days per Interval,,,,,,
Interval,2-49,50-99,100-249,250-999,"1,000 plus",
,2021,"30,547","54,133","96,318","740,688","2,347,500"
2022,"52,417","81,566","89,962","369,243","3,854,400",
2023,"69,331","121,227","201,43","366,348","24,116,186",
2024,"44,968","69,581.5","158,239","600,117","4,455,440",
2025,"55,877","111,071","183,654","810,914","3,010,520",
Table 5,,,,,,
Demands of Work Stoppages 2025,,,,,,
NOTE: A single work stoppage may have multiple demands. This list is not exhaustive.,,,,,,
,,,,,,
Demand,Work Stoppages,Approximate Number of Workers,Strike Days,,,
Pay,195,"192,778","3,376,616",,,
First Contract,70,"19,83","432,824",,,
Healthcare,66,"150,792","1,264,542",,,
Staffing,63,"171,242","1,839,602",,,
Health and Safety,62,"91,169","1,120,101",,,
Scheduling,52,"67,481","846,221",,,
Retirement Benefits,38,"45,778","1,264,465",,,
Job Security,34,"11,698","676,659",,,
End to Anti-Union Retaliation,26,"127,764","597,734",,,
Union Recognition,18,"2,731","37,496",,,
Racial Justice,10,"1,92","37,988",,,
Table 6,,,,,,
Union Versus Nonunion Work Stoppages,,,,,,
NOTE: Nonunion means workers not unionized (without or prior to union recognition),,,,,,
,,,,,,
Work Stoppages per Interval,,,,,,
Interval,Unionized,Nonunionized,,,,
,2021,178,101,,,
2022,302,131,,,,
2023,366,104,,,,
2024,270,89,,,,
2025,247,56,,,,
Approximate Number of Workers per Interval,,,,,,
Interval,Unionized,Nonunionized,,,,
,2021,"135,405","4,937",,,
2022,"217,278","6,874",,,,
2023,"522,699","15,884",,,,
2024,"288,999","4,49",,,,
2025,"284,101","5,577",,,,
Strike Days per Interval,,,,,,
Interval,Unionized,Nonunionized,,,,
,2021,"3,017,400","251,786",,,
2022,"4,370,681","76,907",,,,
2023,"24,809,355","65,167",,,,
2024,"5,294,339.5","33,826",,,,
2025,"3,976,699","194,352",,,,
Table 7,,,,,,
Authorized Versus Unauthorized Strikes,,,,,,
"NOTE: This only includes strikes by unionized workers. By unionized, we mean after formal recognition of a union.",,,,,,
,,,,,,
Strikes per Interval,,,,,,
Interval,Authorized,Unauthorized,Unknown,,,
,2021,143,19,11,,
2022,266,25,4,,,
2023,336,20,6,,,
2024,248,13,6,,,
2025,231,7,4,,,
Approximate Number of Workers per Interval,,,,,,
Interval,Authorized,Unauthorized,Unknown,,,
,2021,"125,971","2,032","5,317",,
2022,"179,742","1,856",130,,,
2023,"520,489","1,056",401,,,
2024,"287,372","1,328",148,,,
2025,"268,695","15,315",91,,,
Strike Days per Interval,,,,,,
Interval,Authorized,Unauthorized,Unknown,,,
,2021,"2,962,798","3,451","51,151",,
2022,"3,945,121","2,64",170,,,
2023,"24,789,106","1,687",931,,,
2024,"5,288,975.5","1,396",235,,,
2025,"3,645,933","330,635",131,,,
Table 8,,,,,,
Geographic Breakdown of Work Stoppages,,,,,,
Work Stoppages per Interval,,,,,,
Interval,Northeast,Midwest,South,West,,
,2021,70,63,72,84,
2022,102,89,95,171,,
2023,127,110,95,178,,
2024,91,67,65,153,,
2025,85,68,43,127,,
Approximate Number of Workers per Interval,,,,,,
Interval,Northeast,Midwest,South,West,,
,2021,"22,888","20,9","12,104","83,752",
2022,"19,688","68,788","24,073","111,603",,
2023,"122,794","61,124","35,112","319,552",,
2024,"35,755.166","22,439.5","39,114.666","196,179.666",,
2025,"44,043","15,557","6,756","223,322",,
Strike Days per Interval,,,,,,
Interval,Northeast,Midwest,South,West,,
,2021,"1,569,124","592,754","869,018","254,695",
2022,"394,522","821,108","714,873.5","2,517,084.5",,
2023,"10,687,464","1,801,978","499,518","11,885,562",,
2024,"970,451.833","352,045.5","693,949.333","3,311,898.833",,
2025,"1,033,683","836,509","262,605","2,038,281",,
