Downloaded from wid.world on 12-04-2026 at 23:06:59
Percentile ;Year ;"shweal_z_US
Net personal wealth
Top 10% | share | adults | equal split
USA"
p90p100;1980;0.6499
p90p100;1981;0.6459
p90p100;1982;0.6354000000000001
p90p100;1983;0.6301
p90p100;1984;0.6324000000000001
p90p100;1985;0.6271
p90p100;1986;0.6292
p90p100;1987;0.6334000000000001
p90p100;1988;0.646
p90p100;1989;0.6482
p90p100;1990;0.6509
p90p100;1991;0.6517000000000001
p90p100;1992;0.6649
p90p100;1993;0.6656000000000001
p90p100;1994;0.6678000000000001
p90p100;1995;0.6712
p90p100;1996;0.6732
p90p100;1997;0.68
p90p100;1998;0.6864
p90p100;1999;0.6862
p90p100;2000;0.6865
p90p100;2001;0.6819000000000001
p90p100;2002;0.6815
p90p100;2003;0.6817000000000001
p90p100;2004;0.6867000000000001
p90p100;2005;0.6863
p90p100;2006;0.6877
p90p100;2007;0.6967
p90p100;2008;0.7118
p90p100;2009;0.7168
p90p100;2010;0.7298
p90p100;2011;0.7353000000000001
p90p100;2012;0.7433000000000001
p90p100;2013;0.7391000000000001
p90p100;2014;0.7363000000000001
p90p100;2015;0.7321000000000001
p90p100;2016;0.7278
p90p100;2017;0.7184
p90p100;2018;0.7165
p90p100;2019;0.7141000000000001
p90p100;2020;0.7103
p90p100;2021;0.7085
p90p100;2022;0.6962
p90p100;2023;0.6954
p90p100;2024;0.6954
p0p50;1980;0.0099
p0p50;1981;0.0118
p0p50;1982;0.016
p0p50;1983;0.0175
p0p50;1984;0.014
p0p50;1985;0.0156
p0p50;1986;0.016
p0p50;1987;0.0191
p0p50;1988;0.0181
p0p50;1989;0.0184
p0p50;1990;0.0169
p0p50;1991;0.0165
p0p50;1992;0.0138
p0p50;1993;0.0134
p0p50;1994;0.0115
p0p50;1995;0.0094
p0p50;1996;0.0079
p0p50;1997;0.0055
p0p50;1998;0.0051
p0p50;1999;0.0064
p0p50;2000;0.0061
p0p50;2001;0.0062
p0p50;2002;0.0062
p0p50;2003;0.0042
p0p50;2004;0.0039
p0p50;2005;0.0047
p0p50;2006;0.0018
p0p50;2007;-0.0039
p0p50;2008;-0.0123
p0p50;2009;-0.0183
p0p50;2010;-0.0182
p0p50;2011;-0.0178
p0p50;2012;-0.0164
p0p50;2013;-0.0119
p0p50;2014;-0.0078
p0p50;2015;-0.0056
p0p50;2016;-0.004
p0p50;2017;-0.0003
p0p50;2018;0.0006
p0p50;2019;0.0022
p0p50;2020;0.0036
p0p50;2021;0.0078
p0p50;2022;0.0094
p0p50;2023;0.0095
p0p50;2024;0.0096
